Median household income in the United States by state 2020,
"Median household income in the United States in 2020, by state (in current U.S. dollars)",
,
Maryland,94384
District of Columbia,88311
New Hampshire,88235
Massachusetts,86725
New Jersey,85239
Utah,83670
Colorado,82611
Virginia,81947
Washington,81083
Hawaii,80729
Rhode Island,80012
Connecticut,79043
Minnesota,78461
California,77358
Oregon,76554
Alaska,74476
Illinois,73753
Kansas,72815
Nebraska,72024
Pennsylvania,70117
South Dakota,69787
Delaware,69132
Iowa,68469
New York,68304
Texas,68093
Wisconsin,67094
Vermont,66902
Arizona,66628
Idaho,66499
Indiana,66360
Wyoming,65108
Michigan,63829
North Dakota,63657
Maine,63440
Missouri,61901
Nevada,60956
North Carolina,60266
Ohio,60110
South Carolina,60097
Georgia,58952
Florida,57435
Kentucky,56525
Montana,56442
Tennessee,54665
Alabama,54393
Oklahoma,52341
West Virginia,51615
Louisiana,50935
New Mexico,50822
Arkansas,50540
Mississippi,44966
United States,67521
