Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,,
Timeframe: 2015,,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,152351600,21836100,63865500,40558200,4673500,29493100,312777900,1
Alabama,2205700,289700,948700,708200,97500,480300,4730100,
Alaska,337000,35100,140000,53000,39800,102800,707500,
Arizona,2884400,468200,1463900,989800,112200,736600,6655100,
Arkansas,1194200,203100,738400,429000,46100,271500,2882300,
California,17555200,2946300,10173800,3967700,406100,3276000,38325100,
Colorado,2657000,452500,1021200,621800,132800,430000,5315400,
Connecticut,1884200,227200,683000,449400,23300,210900,3478100,
Delaware,473900,48200,188000,143000,13700,51500,918300,
District of Columbia,344300,43700,168000,49400,5700,23600,634800,
Florida,7664500,2026100,3724900,3335600,407900,2653500,19812500,
Georgia,4694200,707200,1768000,1127000,237500,1375700,9909700,
Hawaii,742300,70100,244100,182200,71900,52100,1362600,
Idaho,742700,178800,274400,217200,22000,182200,1617200,
Illinois,6610300,847800,2542500,1571800,87900,889400,12549700,
Indiana,3376300,360100,1085000,901000,59400,633300,6415100,
Iowa,1637000,229300,548500,432200,26000,146800,3019800,
Kansas,1525400,219000,377200,370900,63000,261200,2816600,
Kentucky,2000400,220200,1105200,624100,72300,261100,4283400,
Louisiana,2030900,293100,1026900,551900,80600,546800,4530300,
Maine,603900,93700,258600,204700,21000,110600,1292600,
Maryland,3263700,365200,1027100,686800,105800,389700,5838300,
Massachusetts,3662800,329500,1559300,788600,30500,185000,6555600,
Michigan,4880000,553800,2201400,1409700,64500,584400,9693800,
Minnesota,3023200,392200,968900,702000,38600,240600,5365600,
Mississippi,1171600,181900,744400,372600,57500,361300,2889300,
Missouri,3017800,442300,874500,881500,100400,574400,5890900,
Montana,446200,107700,152600,163400,19700,116300,1005900,
Nebraska,1017800,164500,237400,241200,33500,144000,1838400,
Nevada,1351800,188500,528200,375600,48800,349800,2842700,
New Hampshire,753000,71500,160600,198500,14700,89200,1287600,
New Jersey,4862000,486300,1523400,1090200,41000,773400,8776300,
New Mexico,738400,101000,651500,281200,40900,222200,2035300,
New York,9544600,1045900,4945200,2268700,96500,1368400,19269200,
North Carolina,4365800,839500,1802000,1358000,266800,1101600,9733700,
North Dakota,404600,72100,77600,93900,18200,60000,726400,
Ohio,5898000,552300,2355000,1653000,101800,733400,11293300,
Oklahoma,1728800,242600,655500,539700,79900,537200,3783700,
Oregon,1807100,297300,942000,580900,43900,277600,3948700,
Pennsylvania,6521800,843700,2288600,1878400,73300,780600,12386400,
Rhode Island,527300,55700,231300,139400,8200,52500,1014400,
South Carolina,2141000,316900,926800,723000,112900,513400,4734000,
South Dakota,399000,84900,111100,117000,24200,92900,829000,
Tennessee,3001900,429600,1291200,913400,127000,659600,6422800,
Texas,12552000,1840300,4690000,2670100,464700,4560300,26777500,
Utah,1718300,283800,327000,270100,31700,314300,2945200,
Vermont,294800,35100,156000,87800,4800,23800,602400,
Virginia,4319700,572700,971100,1069600,366900,751000,8051200,
Washington,3500300,518300,1480900,892900,152300,458200,7002800,
West Virginia,812000,68100,476100,314700,22400,98200,1791500,
