Year,Class,System,International Roughness Index,State,Pivot Field Names,Value
2020,Acceptable (miles),Overall,,Alabama,Acceptable,23544.0048
2020,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.908639811
2020,Total (miles),Overall,,Alabama,Total,25911.26264
2019,Acceptable (miles),Overall,,Alabama,Acceptable,23249.92244
2019,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.88701571
2019,Total (miles),Overall,,Alabama,Total,26211.39871
2018,Acceptable (miles),Overall,,Alabama,Acceptable,22919
2018,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.880672042
2018,Total (miles),Overall,,Alabama,Total,26024
2017,Acceptable (miles),Overall,,Alabama,Acceptable,21301
2017,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.86137733
2017,Total (miles),Overall,,Alabama,Total,24729
2016,Acceptable (miles),Overall,,Alabama,Acceptable,22500
2016,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.864088483
2016,Total (miles),Overall,,Alabama,Total,26039
2015,Acceptable (miles),Overall,,Alabama,Acceptable,11276
2015,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.975939069
2015,Total (miles),Overall,,Alabama,Total,11554
2014,Acceptable (miles),Overall,,Alabama,Acceptable,21856
2014,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.901129711
2014,Total (miles),Overall,,Alabama,Total,24254
2013,Acceptable (miles),Overall,,Alabama,Acceptable,18307
2013,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.891068386
2013,Total (miles),Overall,,Alabama,Total,20545
2012,Acceptable (miles),Overall,,Alabama,Acceptable,15893
2012,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.92213519
2012,Total (miles),Overall,,Alabama,Total,17235
2011,Acceptable (miles),Overall,,Alabama,Acceptable,20988
2011,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.914788824
2011,Total (miles),Overall,,Alabama,Total,22943
2010,Acceptable (miles),Overall,,Alabama,Acceptable,
2010,Percent Acceptable,Overall,,Alabama,Percent Acceptable,
2010,Total (miles),Overall,,Alabama,Total,
2009,Acceptable (miles),Overall,,Alabama,Acceptable,20844
2009,Percent Acceptable,Overall,,Alabama,Percent Acceptable,0.884344506
2009,Total (miles),Overall,,Alabama,Total,23570
