state,date,value
Alabama,2001-01-01,7.01
Alabama,2002-01-01,7.12
Alabama,2003-01-01,7.39
Alabama,2004-01-01,7.62
Alabama,2005-01-01,8
Alabama,2006-01-01,8.75
Alabama,2007-01-01,9.32
Alabama,2008-01-01,10.4
Alabama,2009-01-01,10.66
Alabama,2010-01-01,10.67
Alabama,2011-01-01,11.09
Alabama,2012-01-01,11.4
Alabama,2013-01-01,11.26
Alabama,2014-01-01,11.48
Alabama,2015-01-01,11.7
Alabama,2016-01-01,11.99
Alabama,2017-01-01,12.55
Alabama,2018-01-01,12.18
Alabama,2019-01-01,12.53
Alabama,2020-01-01,12.57
Alabama,2021-01-01,13.08
Alaska,2021-01-01,22.58
Alaska,2020-01-01,22.57
Alaska,2019-01-01,22.92
Alaska,2018-01-01,21.94
Alaska,2017-01-01,21.27
Alaska,2016-01-01,20.3
Alaska,2015-01-01,19.83
Alaska,2014-01-01,19.14
Alaska,2013-01-01,18.12
Alaska,2012-01-01,17.88
Alaska,2011-01-01,17.62
Arizona,2021-01-01,12.55
Arizona,2020-01-01,12.27
Arizona,2019-01-01,12.43
Arizona,2018-01-01,12.77
Arizona,2017-01-01,12.44
Arizona,2016-01-01,12.15
Arizona,2015-01-01,12.13
Arizona,2014-01-01,11.9
Arizona,2013-01-01,11.71
Arizona,2012-01-01,11.29
Arizona,2011-01-01,11.08
Arizona,2010-01-01,10.97
Arizona,2009-01-01,10.73
Arizona,2008-01-01,10.27
Arizona,2007-01-01,9.66
Arizona,2006-01-01,9.4
Arizona,2005-01-01,8.86
Arizona,2004-01-01,8.46
Arizona,2003-01-01,8.35
Arizona,2002-01-01,8.27
Arizona,2001-01-01,8.3
Arkansas,2021-01-01,11.32
Arkansas,2020-01-01,10.41
Arkansas,2019-01-01,9.8
Arkansas,2018-01-01,9.81
Arkansas,2017-01-01,10.28
Arkansas,2016-01-01,9.92
Arkansas,2015-01-01,9.82
Arkansas,2014-01-01,9.51
Arkansas,2013-01-01,9.59
Arkansas,2012-01-01,9.3
Arkansas,2011-01-01,9.02
Arkansas,2010-01-01,8.86
Arkansas,2009-01-01,9.14
Arkansas,2008-01-01,9.27
Arkansas,2007-01-01,8.73
Arkansas,2006-01-01,8.85
Arkansas,2005-01-01,8
Arkansas,2004-01-01,7.36
Arkansas,2003-01-01,7.24
Arkansas,2002-01-01,7.25
Arkansas,2001-01-01,7.72
California,2021-01-01,22.85
California,2020-01-01,20.45
California,2019-01-01,19.15
California,2018-01-01,18.84
California,2017-01-01,18.31
California,2016-01-01,17.39
California,2015-01-01,16.99
California,2014-01-01,16.25
California,2013-01-01,16.23
